"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 22 07:02:16 GMT 2022","Wed Jun 22 07:02:17 GMT 2022","745","chromium","example.spec.ts","Editing","","","should save edits on blur",""
"passed","Wed Jun 22 07:02:18 GMT 2022","Wed Jun 22 07:02:19 GMT 2022","706","chromium","example.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Wed Jun 22 07:02:10 GMT 2022","Wed Jun 22 07:02:10 GMT 2022","643","chromium","example.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Wed Jun 22 07:02:11 GMT 2022","Wed Jun 22 07:02:12 GMT 2022","684","chromium","example.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Wed Jun 22 07:02:20 GMT 2022","Wed Jun 22 07:02:20 GMT 2022","608","chromium","example.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Wed Jun 22 07:02:25 GMT 2022","Wed Jun 22 07:02:26 GMT 2022","865","chromium","example.spec.ts","Routing","","","should allow me to display all items",""
"passed","Wed Jun 22 07:02:09 GMT 2022","Wed Jun 22 07:02:10 GMT 2022","503","chromium","example.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Wed Jun 22 07:02:17 GMT 2022","Wed Jun 22 07:02:18 GMT 2022","752","chromium","example.spec.ts","Editing","","","should trim entered text",""
"passed","Wed Jun 22 07:02:15 GMT 2022","Wed Jun 22 07:02:16 GMT 2022","712","chromium","example.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Wed Jun 22 07:02:13 GMT 2022","Wed Jun 22 07:02:14 GMT 2022","728","chromium","example.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Wed Jun 22 07:02:14 GMT 2022","Wed Jun 22 07:02:15 GMT 2022","775","chromium","example.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Wed Jun 22 07:02:21 GMT 2022","Wed Jun 22 07:02:22 GMT 2022","744","chromium","example.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Wed Jun 22 07:02:12 GMT 2022","Wed Jun 22 07:02:12 GMT 2022","744","chromium","example.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Wed Jun 22 07:02:20 GMT 2022","Wed Jun 22 07:02:21 GMT 2022","740","chromium","example.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Wed Jun 22 07:02:22 GMT 2022","Wed Jun 22 07:02:23 GMT 2022","770","chromium","example.spec.ts","Persistence","","","should persist its data",""
"passed","Wed Jun 22 07:02:15 GMT 2022","Wed Jun 22 07:02:15 GMT 2022","726","chromium","example.spec.ts","Item","","","should allow me to edit an item",""
"passed","Wed Jun 22 07:02:19 GMT 2022","Wed Jun 22 07:02:20 GMT 2022","565","chromium","example.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Wed Jun 22 07:02:23 GMT 2022","Wed Jun 22 07:02:24 GMT 2022","976","chromium","example.spec.ts","Routing","","","should respect the back button",""
"passed","Wed Jun 22 07:02:12 GMT 2022","Wed Jun 22 07:02:13 GMT 2022","906","chromium","example.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Wed Jun 22 07:02:26 GMT 2022","Wed Jun 22 07:02:27 GMT 2022","729","chromium","example.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Wed Jun 22 07:02:23 GMT 2022","Wed Jun 22 07:02:23 GMT 2022","769","chromium","example.spec.ts","Routing","","","should allow me to display active items",""
"passed","Wed Jun 22 07:02:18 GMT 2022","Wed Jun 22 07:02:18 GMT 2022","724","chromium","example.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Wed Jun 22 07:02:24 GMT 2022","Wed Jun 22 07:02:25 GMT 2022","702","chromium","example.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Wed Jun 22 07:02:10 GMT 2022","Wed Jun 22 07:02:11 GMT 2022","517","chromium","example.spec.ts","New Todo","","","should show #main and #footer when items added",""
"passed","Wed Jun 22 07:02:08 GMT 2022","Wed Jun 22 07:02:09 GMT 2022","1192","chromium","example.spec.ts","New Todo","","","should allow me to add todo items",""
